ID,Trees,Trees_Producing,,
H0296,500,100,,
H0297,600,600,,
H0298,600,600,,
H0299,680,658,,
H0300,700,,,
H0301,740,700,,
H0302,88,,,
H0303,100,,,
H0304,120,,,
H0305,120,,,
H0306,140,,,
H0307,150,,,
H0308,150,,,
H0309,150,,,
H0310,150,,,
H0311,150,,,
H0312,178,,,
H0313,200,,,
H0314,90,,,
H0315,200,,,
H0316,200,,,
H0317,200,,,
H0318,200,,,
H0319,280,,,
H0320,400,,,
H0321,402,,,
H0322,419,,,
H0323,471,,,
H0324,80,,,
H0325,580,,,
H0326,600,,,
H0327,1100,,,
H0328,50,40,,
H0329,100,45,,
H0330,100,100,,
H0331,100,70,,
H0332,100,40,,
H0333,120,80,,
H0334,120,90,,
H0335,130,120,,
H0336,150,50,,
H0337,150,30,,
H0338,150,50,,
H0339,150,200,,
H0340,150,0,,
H0341,150,150,,
H0342,150,130,,
H0343,200,300,,
H0344,200,30,,
H0345,200,50,,
H0346,200,180,,
H0347,200,1200,,
H0348,200,100,,
H0349,200,194,,
H0350,240,400,,
H0351,250,180,,
H0352,250,20,,
H0353,250,60,,
H0354,250,150,,
H0355,250,0,,
H0356,300,80,,
H0357,450,300,,
H0358,570,350,,
H0359,600,600,,
H0360,600,500,,
H0361,720,700,,
H0362,30,230,,
H0363,120,120,,
H0364,256,80,,
H0365,650,100,,
H0366,160,120,,
H0367,170,100,,
H0368,170,250,,
H0369,175,100,,
H0370,400,450,,
H0371,180,120,,
H0372,180,0,,
H0373,180,0,,
H0374,180,0,,
H0375,180,100,,
H0376,180,0,,
H0377,200,200,,
H0378,80,120,,
H0379,200,200,,
H0380,200,200,,
H0381,200,170,,
H0382,200,110,,
H0383,225,100,,
H0384,220,230,,
H0385,230,210,,
H0386,250,250,,
H0387,250,0,,
H0388,280,0,,
H0389,450,300,,
H0390,63,,,
H0391,80,80,,
H0392,80,50,,
H0393,85,85,,
H0394,100,100,,
H0395,100,100,,
H0396,100,60,,
H0397,100,70,,
H0398,105,0,,
H0399,115,64,,
H0400,140,120,,
H0401,145,120,,
H0402,148,80,,
H0403,150,139,,
H0404,150,100,,
H0405,150,150,,
H0406,172,160,,
H0407,180,140,,
H0408,189,80,,
H0409,200,100,,
H0410,200,150,,
H0411,200,180,,
H0412,217,150,,
H0413,220,220,,
H0414,250,200,,
H0415,280,200,,
H0416,300,254,,
H0417,340,226,,
H0418,350,230,,
H0419,360,250,,
H0420,400,100,,
H0421,560,300,,
H0422,700,650,,
H0423,52,48,,
H0424,98,78,,
H0425,100,89,,
H0426,100,93,,
H0427,100,50,,
H0428,110,0,,
H0429,120,103,,
H0430,140,80,,
H0431,140,67,,
H0432,150,224,,
H0433,150,123,,
H0434,150,137,,
H0435,160,137,,
H0436,170,160,,
H0437,170,187,,
H0438,100,162,,
H0439,175,167,,
H0440,180,164,,
H0441,182,201,,
H0442,186,173,,
H0443,200,124,,
H0444,200,100,,
H0445,200,184,,
H0446,200,120,,
H0447,200,200,,
H0448,250,223,,
H0449,250,150,,
H0450,340,573,,
H0451,180,316,,
H0452,350,317,,
H0453,375,319,,
H0454,2500,500,,
H0455,100,100,,
H0456,120,120,,
H0457,120,120,,
H0458,120,180,,
H0459,120,200,,
H0460,130,0,,
H0461,180,180,,
H0462,150,150,,
H0463,150,0,,
H0464,150,150,,
H0465,150,150,,
H0466,150,200,,
H0467,160,160,,
H0468,164,164,,
H0469,180,180,,
H0470,180,180,,
H0471,180,0,,
H0472,180,0,,
H0473,180,180,,
H0474,190,190,,
H0475,190,220,,
H0476,200,200,,
H0477,200,200,,
H0478,200,200,,
H0479,200,200,,
H0480,200,200,,
H0481,200,180,,
H0482,200,200,,
H0483,200,200,,
H0484,200,200,,
H0485,200,200,,
H0486,220,220,,
H0487,220,200,,
H0488,220,0,,
H0489,260,0,,
H0490,280,200,,
H0491,400,400,,
H0492,400,420,,
H0493,420,300,,
H0494,720,120,,
H0495,730,230,,
H0496,780,0,,
H0497,120,100,,
H0498,48,48,,
H0499,55,40,,
H0500,120,120,,
H0501,120,0,,
H0502,120,120,,
H0503,120,100,,
H0504,130,120,,
H0505,140,50,,
H0506,140,80,,
H0507,140,110,,
H0508,140,120,,
H0509,150,150,,
H0510,150,60,,
H0511,50,50,,
H0512,150,70,,
H0513,160,100,,
H0514,160,70,,
H0515,160,160,,
H0516,160,160,,
H0517,160,80,,
H0518,180,48,,
H0519,250,250,,
H0520,190,170,,
H0521,200,200,,
H0522,200,80,,
H0523,200,200,,
H0524,200,100,,
H0525,220,120,,
H0526,260,180,,
H0527,330,100,,
H0528,340,40,,
H0529,350,200,,
H0530,380,180,,
H0531,60,60,,
H0532,70,0,,
H0533,70,70,,
H0534,70,0,,
H0535,90,90,,
H0536,90,170,,
H0537,90,80,,
H0538,120,0,,
H0539,120,200,,
H0540,150,150,,
H0541,160,160,,
H0542,200,130,,
H0543,200,0,,
H0544,200,200,,
H0545,200,0,,
H0546,200,250,,
H0547,202,202,,
H0548,220,200,,
H0549,220,100,,
H0550,250,150,,
H0551,250,120,,
H0552,250,250,,
H0553,300,70,,
H0554,300,0,,
H0555,300,300,,
H0556,400,250,,
H0557,600,240,,
H0558,300,600,,
H0559,600,0,,
H0560,600,250,,
H0561,10,100,,
H0562,60,150,,
H0563,60,0,,
H0564,68,68,,
H0565,80,80,,
H0566,80,80,,
H0567,95,95,,
H0568,100,100,,
H0569,115,110,,
H0570,100,80,,
H0571,120,100,,
H0572,150,80,,
H0573,150,0,,
H0574,150,100,,
H0575,150,0,,
H0576,150,150,,
H0577,160,100,,
H0578,200,200,,
H0579,200,200,,
H0580,200,200,,
H0581,500,270,,
H0582,300,230,,
H0583,300,300,,
H0584,300,200,,
H0585,300,300,,
H0586,300,200,,
H0587,300,80,,
H0588,400,400,,
H0589,150,150,,
H0590,400,400,,
H0591,350,240,,
H0592,1000,250,,
H0593,30,100,,
H0594,30,100,,
H0595,50,50,,
H0596,50,80,,
H0597,50,90,,
H0598,70,70,,
H0599,80,80,,
H0600,80,100,,
H0601,80,60,,
H0602,100,100,,
H0603,100,0,,
H0604,100,140,,
H0605,150,150,,
H0606,150,100,,
H0607,180,100,,
H0608,180,100,,
H0609,200,200,,
H0610,200,450,,
H0611,200,200,,
H0612,200,170,,
H0613,200,200,,
H0614,200,120,,
H0615,200,100,,
H0616,220,220,,
H0617,240,240,,
H0618,270,270,,
H0619,280,280,,
H0620,300,300,,
H0621,340,340,,
H0622,350,350,,
H0623,370,370,,
H0624,400,400,,
H0625,500,200,,
H0626,520,250,,
H0627,1200,200,,
H0628,150,400,,
H0629,400,60,,
H0630,70,700,,
H0631,70,0,,
H0632,70,70,,
H0633,75,75,,
H0634,80,80,,
H0635,80,80,,
H0636,120,120,,
H0637,150,150,,
H0638,150,270,,
H0639,150,150,,
H0640,180,100,,
H0641,200,200,,
H0642,200,0,,
H0643,200,200,,
H0644,250,250,,
H0645,270,270,,
H0646,280,280,,
H0647,300,300,,
H0648,300,0,,
H0649,300,0,,
H0650,350,200,,
H0651,400,400,,
H0652,600,60,,
H0653,750,150,,
H0654,250,100,,
H0655,25,125,,
H0656,70,70,,
H0657,120,120,,
H0658,120,0,,
H0659,120,38,,
H0660,120,80,,
H0661,120,100,,
H0662,130,70,,
H0663,130,130,,
H0664,130,130,,
H0665,140,140,,
H0666,150,50,,
H0667,150,0,,
H0668,150,0,,
H0669,150,150,,
H0670,150,150,,
H0671,150,60,,
H0672,155,40,,
H0673,157,80,,
H0674,160,100,,
H0675,160,120,,
H0676,163,0,,
H0677,180,0,,
H0678,185,85,,
H0679,200,120,,
H0680,210,210,,
H0681,250,50,,
H0682,280,80,,
H0683,520,600,,
H0684,200,200,,
H0685,11,60,,
H0686,20,100,,
H0687,38,38,,
H0688,300,100,,
H0689,40,138,,
H0690,48,60,,
H0691,49,250,,
H0692,50,100,,
H0693,70,70,,
H0694,100,70,,
H0695,100,100,,
H0696,150,50,,
H0697,200,200,,
H0698,150,150,,
H0699,150,100,,
H0700,150,150,,
H0701,150,100,,
H0702,150,150,,
H0703,165,65,,
H0704,165,60,,
H0705,180,200,,
H0706,180,100,,
H0707,189,80,,
H0708,210,200,,
H0709,240,240,,
H0710,250,100,,
H0711,250,250,,
H0712,250,100,,
H0713,250,250,,
H0714,280,200,,
H0715,286,286,,
H0716,300,200,,
H0717,300,300,,
H0718,370,70,,
H0719,370,300,,
H0720,400,160,,
H0721,420,250,,
H0722,430,430,,
H0723,550,200,,
H0724,600,60,,
H0725,700,90,,
H0726,750,60,,
H0727,781,320,,
H0728,100,100,,
H0729,120,120,,
H0730,140,140,,
H0731,150,150,,
H0732,170,170,,
H0733,180,180,,
H0734,180,0,,
H0735,180,0,,
H0736,180,80,,
H0737,200,200,,
H0738,200,140,,
H0739,200,200,,
H0740,68,0,,
H0741,220,220,,
H0742,220,160,,
H0743,230,460,,
H0744,250,250,,
H0745,250,0,,
H0746,250,0,,
H0747,250,200,,
H0748,280,280,,
H0749,300,300,,
H0750,300,240,,
H0751,320,320,,
H0752,320,0,,
H0753,320,200,,
H0754,340,0,,
H0755,350,100,,
H0756,420,140,,
H0757,421,0,,
H0758,460,460,,
H0759,600,0,,
H0760,40,230,,
H0761,50,50,,
H0762,60,0,,
H0763,80,80,,
H0764,80,50,,
H0765,100,100,,
H0766,120,120,,
H0767,130,100,,
H0768,220,100,,
H0769,140,0,,
H0770,140,40,,
H0771,150,150,,
H0772,150,100,,
H0773,150,150,,
H0774,150,100,,
H0775,160,160,,
H0776,160,160,,
H0777,180,0,,
H0778,180,300,,
H0779,200,200,,
H0780,200,100,,
H0781,200,0,,
H0782,200,200,,
H0783,200,100,,
H0784,210,200,,
H0785,200,70,,
H0786,230,300,,
H0787,250,250,,
H0788,250,0,,
H0789,252,250,,
H0790,270,0,,
H0791,280,200,,
H0792,280,280,,
H0793,300,300,,
H0794,350,350,,
H0795,360,360,,
H0796,370,300,,
H0797,400,400,,
H0798,600,350,,
H0799,150,80,,
H0800,260,260,,
H0801,170,0,,
H0802,50,120,,
H0803,55,55,,
H0804,70,70,,
H0805,72,72,,
H0806,75,160,,
H0807,75,60,,
H0808,95,20,,
H0809,100,100,,
H0810,100,100,,
H0811,100,70,,
H0812,100,100,,
H0813,120,60,,
H0814,130,90,,
H0815,137,100,,
H0816,140,140,,
H0817,146,120,,
H0818,150,150,,
H0819,186,180,,
H0820,200,200,,
H0821,200,200,,
H0822,200,120,,
H0823,250,200,,
H0824,250,140,,
H0825,280,280,,
H0826,300,160,,
H0827,300,300,,
H0828,400,150,,
H0829,410,200,,
H0830,450,250,,
H0831,96,50,,
H0832,37,137,,
H0833,50,240,,
H0834,70,70,,
H0835,73,73,,
H0836,84,184,,
H0837,90,90,,
H0838,91,118,,
H0839,96,,,
H0840,100,100,,
H0841,100,240,,
H0842,115,100,,
H0843,120,120,,
H0844,120,120,,
H0845,130,200,,
H0846,130,100,,
H0847,150,,,
H0848,150,,,
H0849,150,150,,
H0850,150,,,
H0851,154,154,,
H0852,170,170,,
H0853,160,160,,
H0854,180,180,,
H0855,180,180,,
H0856,200,200,,
H0857,200,200,,
H0858,200,280,,
H0859,200,200,,
H0860,220,,,
H0861,230,230,,
H0862,250,250,,
H0863,250,250,,
H0864,250,250,,
H0865,96,120,,
H0866,280,450,,
H0867,300,0,,
H0868,300,200,,
H0869,364,100,,
H0870,400,400,,
H0871,423,420,,
H0872,450,100,,
H0873,460,460,,
H0874,500,500,,
H0875,700,700,,
H0876,15,,,
H0877,16,,,
H0878,20,20,,
H0879,21,21,,
H0880,21,,,
H0881,21,,,
H0882,42,,,
H0883,48,,,
H0884,50,,,
H0885,58,,,
H0886,59,,,
H0887,62,62,,
H0888,63,,,
H0889,64,,,
H0890,64,,,
H0891,70,,,
H0892,72,72,,
H0893,83,,,
H0894,90,,,
H0895,100,,,
H0896,107,107,,
H0897,110,110,,
H0898,119,,,
H0899,126,,,
H0900,130,130,,
H0901,133,,,
H0902,134,134,,
H0903,145,145,,
H0904,150,150,,
H0905,177,177,,
H0906,180,,,
H0907,200,200,,
H0908,212,,,
H0909,225,225,,
H0910,232,232,,
H0911,240,240,,
H0912,250,250,,
H0913,280,,,
H0914,300,300,,
H0915,350,350,,
H0916,366,,,
H0917,450,450,,
H0918,100,,,
H0919,21,,,
H0920,24,,,
H0921,24,,,
H0922,24,,,
H0923,25,,,
H0924,29,24,,
H0925,29,,,
H0926,32,32,,
H0927,35,,,
H0928,37,37,,
H0929,38,38,,
H0930,39,39,,
H0932,42,,,
H0933,42,,,
H0934,43,,,
H0935,43,,,
H0936,44,,,
H0937,48,,,
H0938,53,,,
H0939,55,,,
H0940,58,58,,
H0941,60,,,
H0942,68,68,,
H0943,76,76,,
H0944,78,,,
H0945,80,80,,
H0946,90,90,,
H0947,91,,,
H0948,96,,,
H0949,119,119,,
H0950,123,123,,
H0951,150,150,,
H0952,151,,,
H0953,190,30,,
H0954,200,101,,
H0956,210,210,,
H0957,270,,,
H0958,280,250,,
H0959,280,280,,
H0960,288,288,,
H0961,294,250,,
H0963,92,,,
H0964,8,,,
H0965,10,,,
H0968,22,22,,
H0969,22,22,,
H0970,23,23,,
H0971,24,24,,
H0972,26,26,,
H0973,26,26,,
H0974,28,28,,
H0976,32,32,,
H0977,35,,,
H0978,35,35,,
H0981,48,48,,
H0982,50,50,,
H0983,53,,,
H0984,55,55,,
H0985,59,59,,
H0986,60,,,
H0987,63,,,
H0988,64,,,
H0989,69,,,
H0990,77,77,,
H0991,83,83,,
H0992,97,97,,
H0994,106,106,,
H0995,107,107,,
H0996,146,146,,
H0997,150,150,,
H0998,162,162,,
H0999,166,,,
H1000,209,209,,
H1001,297,297,,
H1002,300,,,
H1004,12,12,,
H1005,12,,,
H1006,18,,,
H1007,20,,,
H1008,22,22,,
H1009,22,22,,
H1010,30,,,
H1011,33,33,,
H1012,34,,,
H1013,35,,,
H1014,37,37,,
H1015,37,37,,
H1016,40,40,,
H1017,44,,,
H1018,47,,,
H1019,50,,,
H1020,50,50,,
H1021,58,,,
H1022,60,,,
H1023,64,64,,
H1024,64,,,
H1026,72,72,,
H1027,73,73,,
H1028,73,,,
H1029,93,,,
H1030,101,101,,
H1031,105,,,
H1032,122,122,,
H1033,130,130,,
H1034,130,130,,
H1035,140,,,
H1036,144,144,,
H1037,154,,,
H1038,158,158,,
H1039,158,,,
H1040,160,160,,
H1041,170,,,
H1042,176,176,,
H1043,200,146,,
H1044,270,100,,
H1045,303,303,,
H1046,320,,,
H1047,18,18,,
H1048,24,24,,
H1049,27,,,
H1050,28,,,
H1051,40,300,,
H1052,42,,,
H1053,43,43,,
H1054,44,,,
H1055,44,,,
H1056,47,,,
H1057,50,,,
H1058,52,52,,
H1059,56,56,,
H1060,60,60,,
H1061,60,60,,
H1062,60,,,
H1063,70,70,,
H1064,70,70,,
H1065,71,71,,
H1066,72,,,
H1067,73,73,,
H1068,84,,,
H1069,91,91,,
H1070,94,94,,
H1071,100,100,,
H1073,100,100,,
H1074,100,100,,
H1075,120,120,,
H1076,125,125,,
H1077,148,148,,
H1079,182,,,
H1080,182,,,
H1081,197,197,,
H1083,270,270,,
H1084,275,91,,
H1085,306,306,,
H1086,1600,1600,,
H1087,24,,,
H1088,25,25,,
H1089,25,25,,
H1090,50,50,,
H1091,60,,,
H1092,60,60,,
H1093,80,80,,
H1094,100,,,
H1095,110,,,
H1096,120,120,,
H1097,150,150,,
H1098,150,150,,
H1099,156,156,,
H1100,170,170,,
H1101,171,,,
H1102,180,180,,
H1103,197,197,,
H1104,210,210,,
H1105,300,300,,
H1106,325,325,,
H1107,400,400,,
H1108,476,476,,
H1109,480,,,
H1110,10,,,
H1111,12,,,
H1112,14,,,
H1113,15,,,
H1115,16,,,
H1116,19,,,
H1117,21,,,
H1118,31,,,
H1120,33,,,
H1121,37,37,,
H1122,45,,,
H1123,46,,,
H1124,50,,,
H1125,58,58,,
H1126,61,61,,
H1127,63,63,,
H1128,70,,,
H1129,76,76,,
H1130,86,86,,
H1131,97,97,,
H1132,97,97,,
H1133,144,144,,
H1134,150,150,,
H1135,152,152,,
H1136,156,156,,
H1137,160,,,
H1138,166,166,,
H1139,220,,,
H1140,220,,,
H1141,231,231,,
H1142,242,242,,
H1143,248,248,,
H1144,31,,,
H1145,33,,,
H1146,36,36,,
H1147,40,,,
H1148,66,,,
H1149,66,66,,
H1150,72,,,
H1151,75,,,
H1152,81,81,,
H1153,90,,,
H1154,90,,,
H1155,94,,,
H1156,100,100,,
H1158,100,,,
H1159,103,,,
H1160,112,112,,
H1161,114,114,,
H1162,120,,,
H1163,120,120,,
H1164,126,,,
H1165,138,138,,
H1166,140,,,
H1167,147,147,,
H1169,150,,,
H1170,160,160,,
H1171,170,,,
H1172,179,179,,
H1173,189,,,
H1174,190,,,
H1175,210,,,
H1176,250,,,
H1177,258,,,
H1178,280,280,,
H1179,285,285,,
H1180,295,,,
H1181,300,300,,
H1182,300,300,,
H1183,310,,,
H1184,316,316,,
H1185,333,,,
H1186,475,475,,
H1187,480,100,,
H1188,23,,,
H1189,25,,,
H1190,25,,,
H1194,30,,,
H1195,32,32,,
H1197,36,36,,
H1198,36,36,,
H1199,36,,,
H1200,37,,,
H1203,45,,,
H1204,50,50,,
H1205,50,,,
H1206,50,,,
H1207,52,,,
H1208,59,59,,
H1210,68,68,,
H1211,70,,,
H1212,73,73,,
H1213,74,74,,
H1214,74,,,
H1215,80,80,,
H1216,82,82,,
H1217,118,118,,
H1218,119,119,,
H1220,208,208,,
H1221,220,220,,
H1222,246,246,,
H1223,265,265,,
H1224,300,300,,
H1225,350,,,
H1226,515,,,
H1227,22,22,,
H1228,25,,,
H1229,40,,,
H1230,41,,,
H1231,49,,,
H1232,55,,,
H1233,58,,,
H1234,58,58,,
H1235,59,61,,
H1236,61,,,
H1237,62,,,
H1238,65,65,,
H1239,67,,,
H1240,67,,,
H1241,69,,,
H1242,71,71,,
H1243,72,,,
H1244,81,81,,
H1245,82,82,,
H1246,85,85,,
H1247,88,88,,
H1248,93,93,,
H1249,95,,,
H1250,95,,,
H1251,95,,,
H1252,96,96,,
H1253,100,100,,
H1254,100,,,
H1255,103,,,
H1256,119,,,
H1257,125,,,
H1258,130,,,
H1259,144,144,,
H1260,153,,,
H1261,161,161,,
H1262,181,,,
H1263,45,,,
H1264,304,,,
H1265,370,,,
H1266,727,727,,
H1267,128,128,,
H1270,18,18,,
H1271,18,18,,
H1272,28,28,,
H1273,29,,,
H1274,30,30,,
H1275,34,34,,
H1276,36,36,,
H1277,42,42,,
H1278,46,46,,
H1279,50,,,
H1280,52,52,,
H1281,63,63,,
H1282,63,,,
H1283,65,65,,
H1284,74,74,,
H1285,76,76,,
H1286,79,,,
H1287,85,85,,
H1288,100,,,
H1289,100,100,,
H1290,100,100,,
H1291,101,101,,
H1292,104,104,,
H1293,108,108,,
H1294,110,110,,
H1295,111,111,,
H1296,118,118,,
H1298,134,,,
H1299,150,,,
H1300,200,200,,
H1301,200,200,,
H1302,207,207,,
H1303,239,,,
H1304,256,256,,
H1305,260,260,,
H1306,260,260,,
H1307,270,270,,
H1308,270,270,,
H1309,270,270,,
H1310,300,110,,
H1311,317,317,,
H1312,400,,,
H1313,525,525,,
H1314,600,,,
H1315,21,,,
H1316,24,,,
H1317,26,26,,
H1319,29,29,,
H1321,30,202,,
H1322,30,30,,
H1323,30,30,,
H1324,31,,,
H1325,32,,,
H1326,32,,,
H1328,34,,,
H1329,39,39,,
H1330,42,,,
H1331,43,43,,
H1332,44,,,
H1333,50,,,
H1334,50,50,,
H1335,58,58,,
H1336,62,62,,
H1337,69,44,,
H1338,74,74,,
H1339,75,75,,
H1340,80,80,,
H1341,80,80,,
H1342,80,80,,
H1343,81,,,
H1344,88,88,,
H1345,92,,,
H1346,100,100,,
H1347,110,110,,
H1348,112,112,,
H1349,133,133,,
H1350,137,137,,
H1351,141,141,,
H1352,145,145,,
H1354,157,157,,
H1355,176,,,
H1358,261,261,,
H1359,290,,,
H1360,302,302,,
H1361,357,351,,
H1362,600,200,,
H1363,6000,3600,,
H1364,22,22,,
H1365,28,,,
H1367,37,,,
H1368,39,39,,
H1369,39,39,,
H1370,39,,,
H1371,39,,,
H1373,49,,,
H1374,59,,,
H1375,75,75,,
H1376,80,,,
H1377,80,80,,
H1378,93,93,,
H1379,94,99,,
H1380,96,96,,
H1381,101,,,
H1382,108,108,,
H1383,110,110,,
H1384,125,125,,
H1386,136,,,
H1387,168,168,,
H1388,200,80,,
H1389,300,300,,
H1390,300,,,
H1391,330,300,,
H1392,600,190,,
H1393,1400,,,
H1394,6,45,,
H1395,34,34,,
H1396,35,,,
H1397,40,,,
H1398,40,,,
H1400,46,46,,
H1401,75,75,,
H1402,85,,,
H1403,92,92,,
H1404,96,96,,
H1405,139,139,,
H1406,140,140,,
H1407,140,140,,
H1408,143,,,
H1409,146,146,,
H1410,150,150,,
H1411,160,160,,
H1412,160,100,,
H1413,160,160,,
H1414,170,523,,
H1415,200,200,,
H1416,230,230,,
H1417,253,,,
H1418,294,294,,
H1419,300,300,,
H1420,300,300,,
H1421,350,350,,
H1422,350,350,,
H1423,2000,600,,
H1425,25,25,,
H1426,30,,,
H1427,32,,,
H1428,32,,,
H1429,35,,,
H1430,35,,,
H1431,35,35,,
H1432,36,,,
H1433,40,,,
H1434,42,,,
H1435,45,35,,
H1436,48,48,,
H1437,49,49,,
H1438,50,,,
H1439,50,50,,
H1440,52,52,,
H1441,56,,,
H1442,58,58,,
H1443,62,62,,
H1444,64,,,
H1445,73,73,,
H1446,90,90,,
H1447,96,,,
H1448,101,101,,
H1449,109,109,,
H1450,111,111,,
H1451,112,,,
H1452,112,,,
H1453,130,,,
H1454,134,134,,
H1455,140,,,
H1456,140,,,
H1457,144,144,,
H1458,150,150,,
H1459,150,,,
H1460,171,171,,
H1461,200,,,
H1462,202,202,,
H1463,203,203,,
H1465,250,250,,
H1466,250,,,
H1467,280,,,
H1468,340,340,,
